All Transactions Activity Types

Account Activity for Stocks -0067 from Current Year

Total:,-921.88

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
02/23/26,02/23/26,02/23/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:13517899395,--,--,,,1000.0,0.0,--,--
02/19/26,02/19/26,02/19/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-212.49,0.0,--,--
02/19/26,02/19/26,02/19/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,212.49,0.0,--,--
02/18/26,02/18/26,02/18/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-514.68,0.0,--,--
02/18/26,02/18/26,02/18/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,514.68,0.0,--,--
02/18/26,02/18/26,02/19/26,Sold Short,PUT  IWM    02/27/26   260.000,IWM,--,-1.0,2.13,212.49,0.51,--,--
02/17/26,02/17/26,02/17/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-619.29,0.0,--,--
02/17/26,02/17/26,02/17/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,619.29,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.057,94.6,-99.99,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.183,84.49,-99.95,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.222,448.56,-99.58,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.506,66.36,-99.94,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.364,274.25,-99.83,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.16,624.12,-99.86,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.783,127.67,-99.97,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.797,111.275,-199.96,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.332,300.395,-99.73,0.0,--,--
02/17/26,02/17/26,02/18/26,Sold Short,PUT  SPY    03/20/26   648.000,SPY,--,-1.0,5.14,513.49,0.51,--,--
02/17/26,02/17/26,02/16/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:12881998395,--,--,,,1000.0,0.0,--,--
02/13/26,02/13/26,02/17/26,Sold Short,CALL DUOL   03/20/26   115.000,DUOL,--,-1.0,13.6,1359.49,0.51,--,--
02/13/26,02/13/26,02/17/26,Sold Short,CALL SLV    03/20/26    75.000,SLV,--,-1.0,4.0,399.49,0.51,--,--
02/13/26,02/13/26,02/17/26,Sold Short,CALL MSFT   03/20/26   435.000,MSFT,--,-1.0,3.96,395.49,0.51,--,--
02/13/26,02/13/26,02/17/26,Bought To Cover,CALL MSFT   02/20/26   525.000,MSFT,--,1.0,0.03,-3.01,0.01,--,--
02/13/26,02/13/26,02/17/26,Bought To Cover,CALL DUOL   02/20/26   200.000,DUOL,--,1.0,0.05,-5.01,0.01,--,--
02/13/26,02/13/26,02/17/26,Bought To Cover,CALL SLV    02/20/26    75.000,SLV,--,1.0,0.85,-85.51,0.51,--,--
02/11/26,02/11/26,02/11/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,557.18,0.0,--,--
02/11/26,02/11/26,02/11/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-557.18,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.07,93.39,-99.93,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.216,461.43,-99.67,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.188,84.125,-99.94,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.357,279.43,-99.76,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.362,73.38,-99.94,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.156,639.56,-99.77,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.801,111.045,-199.99,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.753,132.66,-99.89,0.0,--,--
02/10/26,02/10/26,02/11/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.33,302.86,-99.94,0.0,--,--
02/09/26,02/09/26,02/09/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,442.82,0.0,--,--
02/09/26,02/09/26,02/09/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-442.82,0.0,--,--
02/09/26,02/09/26,02/09/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:12339705395,--,--,,,1000.0,0.0,--,--
02/05/26,02/05/26,02/05/26,Dividend,ISHARES JP MORGAN EM BOND ETF DIVIDEND REINVESTMENT,EMB,--,0.043,96.264,-4.13,0.0,--,--
02/05/26,02/05/26,02/05/26,Dividend,ISHARES CORE U.S. AGGREGATE DIVIDEND REINVESTMENT,AGG,--,0.622,99.64,-61.97,0.0,--,--
02/05/26,02/05/26,02/05/26,Dividend,ISHARES JP MORGAN EM BOND ETF,EMB,--,,,4.15,0.0,--,--
02/05/26,02/05/26,02/05/26,Dividend,ISHARES CORE U.S. AGGREGATE,AGG,--,,,62.01,0.0,--,--
02/05/26,02/05/26,02/06/26,Bought To Cover,PUT  SPXW   02/20/26  6805.000,SPX,--,2.0,98.53,-19708.05,1.03,--,--
02/05/26,02/05/26,02/06/26,Sold To Close,PUT  SPXW   02/20/26  6800.000,SPX,--,-2.0,96.68,19333.95,1.03,--,--
02/04/26,02/04/26,02/04/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,929.7,0.0,--,--
02/04/26,02/04/26,02/04/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-929.7,0.0,--,--
02/04/26,02/04/26,02/04/26,Dividend,JPMORGAN ULTRA-SHORT INCOME DIVIDEND REINVESTMENT,JPST,--,0.136,50.618,-6.88,0.0,--,--
02/04/26,02/04/26,02/04/26,Dividend,VANGUARD TOTAL BOND MARKET DIVIDEND REINVESTMENT,BND,--,0.379,73.887,-28.0,0.0,--,--
